表層形, 品詞
できる,動詞
」,記号
事,名詞
に,助詞
依っ,動詞
て,助詞
、,記号
学校,名詞
中,名詞
の,助詞
尊敬,名詞
を,助詞
得,動詞
そう,名詞
に,助詞
なり,動詞
まし,助動詞
た,助動詞
。,記号
自分,名詞
は,助詞
、,記号
子供,名詞
の,助詞
頃,名詞
から,助詞
病弱,名詞
で,助動詞
、,記号
よく,副詞
一,名詞
つき,名詞
二,名詞
つき,動詞
、,記号
また,接続詞
一,名詞
学年,名詞
ちかく,形容詞
も,助詞
寝込ん,動詞
で,助詞
学校,名詞
を,助詞
休ん,動詞
だ,助動詞
事,名詞
さえ,助詞
あっ,動詞
た,助動詞
の,名詞
です,助動詞
が,助詞
、,記号
それでも,接続詞
、,記号
病み上り,名詞
の,助詞
からだ,名詞
で,助詞
人力車,名詞
に,助詞
乗っ,動詞
て,助詞
学校,名詞
へ,助詞
行き,動詞
、,記号
学年,名詞
末,名詞
の,助詞
試験,名詞
を,助詞
受け,動詞
て,助詞
みる,動詞
と,助詞
、,記号
クラス,名詞
の,助詞
誰,名詞
より,助詞
も,助詞
所,名詞
謂,名詞
「,記号
でき,動詞
て,助詞
」,記号
いる,動詞
よう,名詞
でし,助動詞
た,助動詞
。,記号
から,助詞
だ,助動詞
具合い,名詞
の,助詞
よい,形容詞
時,名詞
でも,助詞
、,記号
自分,名詞
は,助詞
、,記号
さっぱり,副詞
勉強,名詞
せ,動詞
ず,助動詞
、,記号
学校,名詞
へ,助詞
行っ,動詞
て,助詞
も,助詞
授業,名詞
時間,名詞
に,助詞
漫画,名詞
など,助詞
を,助詞
書き,動詞
、,記号
休憩,名詞
時間,名詞
に,助詞
は,助詞
それ,名詞
を,助詞
クラス,名詞
の,助詞
者,名詞
たち,名詞
に,助詞
説明,名詞
し,動詞
て,助詞
聞か,動詞
せ,動詞
て,助詞
、,記号
笑わせ,動詞
て,助詞
やり,動詞
まし,助動詞
た,助動詞
。,記号
また,接続詞
、,記号
綴り,動詞
方,名詞
に,助詞
は,助詞
、,記号
滑稽,名詞
噺,名詞
ばかり,助詞
書き,動詞
、,記号
先生,名詞
から,助詞
注意,名詞
さ,動詞
れ,動詞
て,助詞
も,助詞
、,記号
しかし,接続詞
、,記号
自分,名詞
は,助詞
、,記号
やめ,動詞
ませ,助動詞
ん,助動詞
でし,助動詞
た,助動詞
。,記号
先生,名詞
は,助詞
、,記号
実は,接続詞
こっそり,副詞
自分,名詞
の,助詞
その,連体詞
滑稽,名詞
噺,名詞
を,助詞
楽しみ,名詞
に,助詞
し,動詞
て,助詞
いる,動詞
事,名詞
を,助詞
自分,名詞
は,助詞
、,記号
知っ,動詞
て,助詞
い,動詞
た,助動詞
から,助詞
でし,助動詞
た,助動詞
。,記号
或,連体詞
る,助動詞
日,名詞
、,記号
自分,名詞
は,助詞
、,記号
れい,名詞
に,助詞
依っ,動詞
て,助詞
、,記号
自分,名詞
が,助詞
母,名詞
に,助詞
連れ,動詞
られ,動詞
て,助詞
上京,名詞
の,助詞
途中,名詞
の,助詞
汽車,名詞
で,助詞
、,記号
おしっこ,名詞
を,助詞
客車,名詞
の,助詞
通路,名詞
に,助詞
ある,動詞
痰,名詞
壺,名詞
に,助詞
し,動詞
て,助詞
しまっ,動詞
た,助動詞
失敗談,名詞
（,記号
しかし,接続詞
、,記号
その,連体詞
上京,名詞
の,助詞
時,名詞
に,助詞
、,記号
自分,名詞
は,助詞
痰,名詞
壺,名詞
と,助詞
知ら,動詞
ず,助動詞
に,助詞
し,動詞
た,助動詞
の,名詞
で,助動詞
は,助詞
あり,動詞
ませ,助動詞
ん,助動詞
でし,助動詞
た,助動詞
。,記号
子供,名詞
の,助詞
無邪気,名詞
を,助詞
てらっ,動詞
て,助詞
、,記号
わざと,副詞
、,記号
そうした,連体詞
の,名詞
でし,助動詞
た,助動詞
）,記号
を,助詞
、,記号
こと,名詞
さらに,副詞
悲し,形容詞
そう,名詞
な,助動詞
筆致,名詞
で,助詞
書い,動詞
て,助詞
提出,名詞
し,動詞
、,記号
先生,名詞
は,助詞
、,記号
きっと,副詞
笑う,動詞
という,助詞
自信,名詞
が,助詞
あり,動詞
まし,助動詞
た,助動詞
ので,助詞
、,記号
職員,名詞
室,名詞
に,助詞
引き揚げ,動詞
て,助詞
行く,動詞
先生,名詞
の,助詞
あと,名詞
を,助詞
、,記号
そっと,副詞
つけ,動詞
て,助詞
行き,動詞
まし,助動詞
たら,助動詞
、,記号
先生,名詞
は,助詞
、,記号
教室,名詞
を,助詞
出る,動詞
と,助詞
すぐ,副詞
、,記号
自分,名詞
の,助詞
その,連体詞
綴り,動詞
方,名詞
を,助詞
、,記号
他,名詞
の,助詞
クラス,名詞
の,助詞
者,名詞
たち,名詞
の,助詞
綴り,名詞
方,名詞
の,助詞
中,名詞
から,助詞
選び出し,動詞
、,記号
廊下,名詞
を,助詞
歩き,動詞
ながら,助詞
読み,動詞
はじめ,動詞
て,助詞
、,記号
クス,名詞
クス,名詞
笑い,動詞
、,記号
やがて,副詞
職員,名詞
室,名詞
に,助詞
は,助詞
いっ,動詞
て,助詞
読み,動詞
終え,動詞
た,助動詞
の,名詞
か,助詞
、,記号
顔,名詞
を,助詞
真赤,名詞
に,助詞
し,動詞
て,助詞
大声,名詞
を,助詞
挙げ,動詞
て,助詞
笑い,動詞
、,記号
他,名詞
の,助詞
先生,名詞
に,助詞
、,記号
さっそく,副詞
それ,名詞
を,助詞
読ま,動詞
せ,動詞
て,助詞
いる,動詞
の,名詞
を,助詞
見,動詞
とどけ,動詞
、,記号
自分,名詞
は,助詞
、,記号
たいへん,副詞
満足,名詞
でし,助動詞
た,助動詞
。,記号
お茶,名詞
目,名詞
。,記号
自分,名詞
は,助詞
、,記号
所,名詞
謂,名詞
お茶,名詞
目,名詞
に,助詞
見,動詞
られる,動詞
事,名詞
に,助詞
成功,名詞
し,動詞
まし,助動詞
た,助動詞
。,記号
尊敬,名詞
さ,動詞
れる,動詞
事,名詞
から,助詞
、,記号
のがれる,動詞
事,名詞
に,助詞
成功,名詞
し,動詞
まし,助動詞
た,助動詞
。,記号
通信,名詞
簿,名詞
は,助詞
全,接頭詞
学科,名詞
とも,助詞
十,名詞
点,名詞
でし,助動詞
た,助動詞
が,助詞
、,記号
操行,名詞
という,助詞
もの,名詞
だけ,助詞
は,助詞
、,記号
七,名詞
点,名詞
だっ,助動詞
たり,助詞
、,記号
六,名詞
点,名詞
だっ,助動詞
たり,助詞
し,動詞
て,助詞
、,記号
それ,名詞
も,助詞
また,接続詞
家中,名詞
の,助詞
大笑い,名詞
の,助詞
種,名詞
でし,助動詞
た,助動詞
。,記号
けれども,接続詞
自分,名詞
の,助詞
本性,名詞
は,助詞
、,記号
そんな,連体詞
お茶,名詞
目,名詞
さん,名詞
など,助詞
と,助詞
は,助詞
、,記号
凡そ,副詞
対蹠,名詞
的,名詞
な,助動詞
もの,名詞
でし,助動詞
た,助動詞
。,記号
その,連体詞
頃,名詞
、,記号
既に,副詞
自分,名詞
は,助詞
、,記号
女中,名詞
や,助詞
下男,名詞
から,助詞
、,記号
哀しい,形容詞
事,名詞
を,助詞
教え,動詞
られ,動詞
、,記号
犯さ,動詞
れ,動詞
て,助詞
い,動詞
まし,助動詞
た,助動詞
。,記号
幼少,名詞
の,助詞
者,名詞
に対して,助詞
、,記号
その,連体詞
よう,名詞
な,助動詞
事,名詞
を,助詞
行う,動詞
の,名詞
は,助詞
、,記号
人間,名詞
の,助詞
行い,動詞
得る,動詞
犯罪,名詞
の,助詞
中,名詞
で,助詞
最も,副詞
醜悪,名詞
で,助動詞
下等,名詞
で,助動詞
、,記号
残酷,名詞
な,助動詞
犯罪,名詞
だ,助動詞
と,助詞
、,記号
自分,名詞
は,助詞
いま,名詞
で,助詞
は,助詞
思っ,動詞
て,助詞
い,動詞
ます,助動詞
。,記号
しかし,接続詞
、,記号
自分,名詞
は,助詞
、,記号
忍び,動詞
まし,助動詞
た,助動詞
。,記号
これ,名詞
で,助詞
また,接続詞
一つ,名詞
、,記号
人間,名詞
の,助詞
特質,名詞
を,助詞
見,動詞
た,助動詞
という,助詞
よう,名詞
な,助動詞
気持,名詞
さえ,助詞
し,動詞
て,助詞
、,記号
そうして,接続詞
、,記号
力,名詞
無く,形容詞
笑っ,動詞
て,助詞
い,動詞
まし,助動詞
た,助動詞
。,記号
もし,副詞
自分,名詞
に,助詞
、,記号
本当,名詞
の,助詞
事,名詞
を,助詞
言う,動詞
習慣,名詞
が,助詞
つい,動詞
て,助詞
い,動詞
た,助動詞
なら,助動詞
、,記号
悪びれ,動詞
ず,助動詞
、,記号
彼等,名詞
の,助詞
犯罪,名詞
を,助詞
父,名詞
や,助詞
母,名詞
に,助詞
訴える,動詞
事,名詞
が,助詞
出来,動詞
た,助動詞
の,名詞
かも,助詞
知れ,動詞
ませ,助動詞
ん,助動詞
が,助詞
、,記号
しかし,接続詞
、,記号
自分,名詞
は,助詞
、,記号
その,連体詞
父,名詞
や,助詞
母,名詞
を,助詞
も,助詞
全部,名詞
は,助詞
理解,名詞
する,動詞
事,名詞
が,助詞
出来,動詞
なかっ,助動詞
た,助動詞
の,名詞
です,助動詞
。,記号
人間,名詞
に,助詞
訴える,動詞
、,記号
自分,名詞
は,助詞
、,記号
その,連体詞
手段,名詞
に,助詞
は,助詞
少し,副詞
も,助詞
期待,名詞
でき,動詞
ませ,助動詞
ん,助動詞
でし,助動詞
た,助動詞
。,記号
父,名詞
に,助詞
訴え,動詞
て,助詞
も,助詞
、,記号
母,名詞
に,助詞
訴え,動詞
て,助詞
も,助詞
、,記号
お巡り,名詞
に,助詞
訴え,動詞
て,助詞
も,助詞
、,記号
政府,名詞
に,助詞
訴え,動詞
て,助詞
も,助詞
、,記号
結局,名詞
は,助詞
世渡り,名詞
に,助詞
強い,形容詞
人,名詞
の,助詞
、,記号
世間,名詞
に,助詞
通り,名詞
の,助詞
いい,形容詞
言いぶん,名詞
に,助詞
言いまくら,動詞
れる,動詞
だけ,助詞
の,助詞
事,名詞
で,助動詞
は,助詞
無い,形容詞
かしら,助詞
。,記号
必ず,副詞
片手,名詞
落,名詞
の,助詞
ある,動詞
の,名詞
が,助詞
、,記号
わかり,動詞
切っ,動詞
て,助詞
いる,動詞
、,記号
所詮,副詞
、,記号
人間,名詞
に,助詞
訴える,動詞
の,名詞
は,助詞
無駄,名詞
で,助動詞
ある,助動詞
、,記号
自分,名詞
は,助詞
やはり,副詞
、,記号
本当,名詞
の,助詞
事,名詞
は,助詞
何,名詞
も,助詞
言わ,動詞
ず,助動詞
、,記号
忍ん,動詞
で,助詞
、,記号
そうして,接続詞
お,接頭詞
道化,名詞
を,助詞
つづけ,動詞
て,助詞
いる,動詞
より,助詞
他,名詞
、,記号
無い,形容詞
気持,名詞
な,助動詞
の,名詞
でし,助動詞
た,助動詞
。,記号
なん,名詞
だ,助動詞
、,記号
人間,名詞
へ,助詞
の,助詞
不信,名詞
を,助詞
言っ,動詞
て,助詞
いる,動詞
の,名詞
か,助詞
？,記号
　,記号
へえ,感動詞
？,記号
　,記号
お前,名詞
は,助詞
い,動詞
つ,助動詞
クリス,名詞
チャン,名詞
に,助詞
なっ,動詞
た,助動詞
ん,名詞
だい,名詞
、,記号
と,助詞
嘲笑,名詞
する,動詞
人,名詞
も,助詞
或いは,接続詞
ある,動詞
かも,助詞
知れ,動詞
ませ,助動詞
ん,助動詞
が,助詞
、,記号
しかし,接続詞
、,記号
人間,名詞
へ,助詞
の,助詞
不信,名詞
は,助詞
、,記号
必ずしも,副詞
すぐ,副詞
に,助詞
宗教,名詞
の,助詞
道,名詞
に,助詞
通じ,動詞
て,助詞
いる,動詞
と,助詞
は,助詞
限ら,動詞
ない,助動詞
と,助詞
、,記号
自分,名詞
に,助詞
は,助詞
思わ,動詞
れる,動詞
の,名詞
です,助動詞
けど,助詞
。,記号
現に,副詞
その,連体詞
嘲笑,名詞
する,動詞
人,名詞
を,助詞
も,助詞
含め,動詞
て,助詞
、,記号
人間,名詞
は,助詞
、,記号
お互い,名詞
の,助詞
不信,名詞
の,助詞
中,名詞
で,助詞
、,記号
エホバ,名詞
も,助詞
何,名詞
も,助詞
念頭,名詞
に,助詞
置か,動詞
ず,助動詞
、,記号
平気,名詞
で,助詞
生き,動詞
て,助詞
いる,動詞
で,助動詞
は,助詞
あり,動詞
ませ,助動詞
ん,助動詞
か,助詞
。,記号
やはり,副詞
、,記号
自分,名詞
の,助詞
幼少,名詞
の,助詞
頃,名詞
の,助詞
事,名詞
で,助動詞
あり,助動詞
まし,助動詞
た,助動詞
が,助詞
、,記号
父,名詞
の,助詞
属し,動詞
て,助詞
い,動詞
た,助動詞
或,連体詞
る,助動詞
政党,名詞
の,助詞
有名人,名詞
が,助詞
、,記号
この,連体詞
町,名詞
に,助詞
演説,名詞
に,助詞
来,動詞
て,助詞
、,記号
自分,名詞
は,助詞
下男,名詞
たち,名詞
に,助詞
連れ,動詞
られ,動詞
て,助詞
劇場,名詞
に,助詞
聞き,動詞
に,助詞
行き,動詞
まし,助動詞
た,助動詞
。,記号
満員,名詞
で,助詞
、,記号
そうして,接続詞
、,記号
この,連体詞
町,名詞
の,助詞
特に,副詞
父,名詞
と,助詞
親しく,形容詞
し,動詞
て,助詞
いる,動詞
人,名詞
たち,名詞
の,助詞
顔,名詞
は,助詞
皆,名詞
、,記号
見え,動詞
て,助詞
、,記号
大いに,副詞
拍手,名詞
など,助詞
し,動詞
て,助詞
い,動詞
まし,助動詞
た,助動詞
。,記号
演説,名詞
が,助詞
すん,動詞
で,助詞
、,記号
聴衆,名詞
は,助詞
雪,名詞
の,助詞
夜道,名詞
を,助詞
三々五々,副詞
かたまっ,動詞
て,助詞
家路,名詞
に,助詞
就き,動詞
、,記号
クソ,接頭詞
ミソ,名詞
に,助詞
今夜,名詞
の,助詞
演説,名詞
会,名詞
の,助詞
悪口,名詞
を,助詞
言っ,動詞
て,助詞
いる,動詞
の,名詞
でし,助動詞
た,助動詞
。,記号
中,名詞
に,助詞
は,助詞
、,記号
父,名詞
と,助詞
特に,副詞
親しい,形容詞
人,名詞
の,助詞
声,名詞
も,助詞
まじっ,動詞
て,助詞
い,動詞
まし,助動詞
た,助動詞
。,記号
父,名詞
の,助詞
開会,名詞
の,助詞
辞,名詞
も,助詞
下手,名詞
、,記号
れい,名詞
の,助詞
有名人,名詞
の,助詞
演説,名詞
も,助詞
何,名詞
が,助詞
何やら,副詞
、,記号
わけ,名詞
が,助詞
わから,動詞
ぬ,助動詞
、,記号
と,助詞
その,連体詞
所,名詞
謂,名詞
父,名詞
の,助詞
「,記号
同志,名詞
たち,名詞
」,記号
が,助詞
怒声,名詞
に,助詞
似,動詞
た,助動詞
口調,名詞
で,助詞
言っ,動詞
て,助詞
いる,動詞
の,名詞
です,助動詞
。,記号
そうして,接続詞
その,連体詞
ひと,名詞
たち,名詞
は,助詞
、,記号
自分,名詞
の,助詞
家,名詞
に,助詞
立ち寄っ,動詞
て,助詞
客間,名詞
に,助詞
上り,名詞
込み,動詞
、,記号
今夜,名詞
の,助詞
演説,名詞
会,名詞
は,助詞
大,接頭詞
成功,名詞
だっ,助動詞
た,助動詞
と,助詞
、,記号
しん,名詞
から,助詞
嬉し,形容詞
そう,名詞
な,助動詞
顔,名詞
を,助詞
し,動詞
て,助詞
父,名詞
に,助詞
言っ,動詞
て,助詞
い,動詞
まし,助動詞
た,助動詞
。,記号
下男,名詞
たち,名詞
まで,助詞
、,記号
今夜,名詞
の,助詞
演説,名詞
会,名詞
は,助詞
どう,副詞
だっ,助動詞
た,助動詞
と,助詞
母,名詞
に,助詞
聞か,動詞
れ,動詞
、,記号
とても,副詞
面白かっ,形容詞
た,助動詞
、,記号
と,助詞
言っ,動詞
て,助詞
けろりと,副詞
し,動詞
て,助詞
いる,動詞
の,名詞
です,助動詞
。,記号
演説,名詞
会,名詞
ほど,助詞
面白く,形容詞
ない,助動詞
もの,名詞
は,助詞
ない,形容詞
、,記号
と,助詞
帰る,動詞
途,名詞
々,記号
、,記号
下男,名詞
たち,名詞
が,助詞
嘆き,動詞
合っ,動詞
て,助詞
い,動詞
た,助動詞
の,名詞
です,助動詞
。,記号
しかし,接続詞
、,記号
こんな,連体詞
の,名詞
は,助詞
、,記号
ほんの,連体詞
ささやか,名詞
な,助動詞
一,名詞
例,名詞
に,助詞
過ぎ,動詞
ませ,助動詞
ん,助動詞
。,記号
互いに,副詞
あざむき,動詞
合っ,動詞
て,助詞
、,記号
しかも,接続詞
いずれ,名詞
も,助詞
不思議,名詞
に,助詞
何,名詞
の,助詞
傷,名詞
も,助詞
つか,動詞
ず,助動詞
、,記号
あざむき,動詞
合っ,動詞
て,助詞
いる,動詞
事,名詞
に,助詞
さえ,助詞
気がつい,動詞
て,助詞
い,動詞
ない,助動詞
みたい,名詞
な,助動詞
、,記号
実に,副詞
あざやか,名詞
な,助動詞
、,記号
それ,名詞
こそ,助詞
清く,形容詞
明るく,形容詞
ほ,動詞
がら,名詞
か,助詞
な,助詞
不信,名詞
の,助詞
例,名詞
が,助詞
、,記号
人間,名詞
の,助詞
生活,名詞
に,助詞
充満,名詞
し,動詞
て,助詞
いる,動詞
よう,名詞
に,助詞
思わ,動詞
れ,動詞
ます,助動詞
。,記号
けれども,接続詞
、,記号
自分,名詞
に,助詞
は,助詞
、,記号
あざむき,動詞
合っ,動詞
て,助詞
いる,動詞
という,助詞
事,名詞
に,助詞
は,助詞
、,記号
さして,副詞
特別,名詞
の,助詞
興味,名詞
も,助詞
あり,動詞
ませ,助動詞
ん,助動詞
。,記号
自分,名詞
だって,助詞
、,記号
お,接頭詞
道化,名詞
に,助詞
依っ,動詞
て,助詞
、,記号
朝,名詞
から,助詞
晩,名詞
まで,助詞
人間,名詞
を,助詞
あざむい,動詞
て,助詞
いる,動詞
の,名詞
です,助動詞
。,記号
自分,名詞
は,助詞
、,記号
修身,名詞
教科書,名詞
的,名詞
な,助動詞
正義,名詞
とか,助詞
何,名詞
とかいう,助詞
道徳,名詞
に,助詞
は,助詞
、,記号
あまり,副詞
関心,名詞
を,助詞
持て,動詞
ない,助動詞
の,名詞
です,助動詞
。,記号
自分,名詞
に,助詞
は,助詞
、,記号
あざむき,動詞
合っ,動詞
て,助詞
い,動詞
ながら,助詞
、,記号
清く,形容詞
明るく,形容詞
朗らか,名詞
に,助詞
生き,動詞
て,助詞
いる,動詞
、,記号
或いは,接続詞
生き,動詞
得る,動詞
自信,名詞
を,助詞
持っ,動詞
て,助詞
いる,動詞
みたい,名詞
な,助動詞
人間,名詞
が,助詞
難解,名詞
な,助動詞
の,名詞
です,助動詞
。,記号
人間,名詞
は,助詞
、,記号
ついに,副詞
自分,名詞
に,助詞
その,連体詞
妙諦,名詞
を,助詞
教え,動詞
て,助詞
は,助詞
くれ,動詞
ませ,助動詞
ん,助動詞
でし,助動詞
た,助動詞
。,記号
それ,名詞
さえ,助詞
わかっ,動詞
たら,助動詞
、,記号
自分,名詞
は,助詞
、,記号
人間,名詞
を,助詞
こんなに,副詞
恐怖,名詞
し,動詞
、,記号
また,接続詞
、,記号
必死,名詞
の,助詞
サーヴィス,名詞
など,助詞
し,動詞
なく,助動詞
て,助詞
、,記号
すん,動詞
だ,助動詞
の,名詞
でしょ,助動詞
う,助動詞
。,記号
人間,名詞
の,助詞
生活,名詞
と,助詞
対立,名詞
し,動詞
て,助詞
しまっ,動詞
て,助詞
、,記号
夜々,名詞
の,助詞
地獄,名詞
の,助詞
これ,名詞
ほど,助詞
の,助詞
苦しみ,名詞
を,助詞
嘗め,動詞
ず,助動詞
に,助詞
すん,動詞
だ,助動詞
の,名詞
でしょ,助動詞
う,助動詞
。,記号
つまり,接続詞
、,記号
自分,名詞
が,助詞
下男,名詞
下女,名詞
たち,名詞
の,助詞
憎む,動詞
べき,助動詞
あの,連体詞
犯罪,名詞
を,助詞
さえ,動詞
、,記号
誰,名詞
に,助詞
も,助詞
訴え,動詞
なかっ,助動詞
た,助動詞
の,名詞
は,助詞
、,記号
人間,名詞
へ,助詞
の,助詞
不信,名詞
から,助詞
で,助動詞
は,助詞
なく,助動詞
、,記号
また,接続詞
勿論,副詞
クリ,名詞
スト,名詞
主義,名詞
の,助詞
ため,名詞
で,助詞
も,助詞
なく,形容詞
、,記号
人間,名詞
が,助詞
、,記号
葉,名詞
蔵,名詞
という,助詞
自分,名詞
に対して,助詞
信用,名詞
の,助詞
殻,名詞
を,助詞
固く,形容詞
閉じ,動詞
て,助詞
い,動詞
た,助動詞
から,助詞
だっ,助動詞
た,助動詞
と,助詞
思い,動詞
ます,助動詞
。,記号
父母,名詞
で,助詞
さえ,助詞
、,記号
自分,名詞
にとって,助詞
難解,名詞
な,助動詞
もの,名詞
を,助詞
、,記号
時折,名詞
、,記号
見せる,動詞
事,名詞
が,助詞
あっ,動詞
た,助動詞
の,名詞
です,助動詞
から,助詞
。,記号
そうして,接続詞
、,記号
その,連体詞
、,記号
誰,名詞
に,助詞
も,助詞
訴え,動詞
ない,助動詞
、,記号
自分,名詞
の,助詞
孤独,名詞
の,助詞
匂い,名詞
が,助詞
、,記号
多く,名詞
の,助詞
女性,名詞
に,助詞
、,記号
本能,名詞
に,助詞
依っ,動詞
て,助詞
嗅ぎ当て,動詞
られ,動詞
、,記号
後年,名詞
さまざま,名詞
、,記号
自分,名詞
が,助詞
つけ込ま,動詞
れる,動詞
誘因,名詞
の,助詞
一つ,名詞
に,助詞
なっ,動詞
た,助動詞
よう,名詞
な,助動詞
気,名詞
も,助詞
する,動詞
の,名詞
です,助動詞
。,記号
つまり,接続詞
、,記号
自分,名詞
は,助詞
、,記号
女性,名詞
にとって,助詞
、,記号
恋,名詞
の,助詞
秘密,名詞
を,助詞
守れる,動詞
男,名詞
で,助動詞
あっ,助動詞
た,助動詞
という,助詞
わけ,名詞
な,助動詞
の,名詞
でし,助動詞
た,助動詞
。,記号
第,接頭詞
二,名詞
の,助詞
手記,名詞
海,名詞
の,助詞
、,記号
波打,名詞
際,名詞
、,記号
と,助詞
いっ,動詞
て,助詞
も,助詞
いい,形容詞
くらい,助詞
に,助詞
海,名詞
に,助詞
ちかい,形容詞
岸辺,名詞
に,助詞
、,記号
真黒い,形容詞
樹,名詞
肌,名詞
の,助詞
山桜,名詞
の,助詞
、,記号
かなり,副詞
大きい,形容詞
の,名詞
が,助詞
二,名詞
十,名詞
本,名詞
以上,名詞
も,助詞
立ちならび,動詞
、,記号
新,接頭詞
学年,名詞
が,助詞
はじまる,動詞
と,助詞
、,記号
山桜,名詞
は,助詞
、,記号
褐色,名詞
の,助詞
ねばっこい,形容詞
よう,名詞
な,助動詞
嫩葉,名詞
と共に,助詞
、,記号
青い,形容詞
海,名詞
を,助詞
背景,名詞
に,助詞
し,動詞
て,助詞
、,記号
その,連体詞
絢爛,名詞
たる,助動詞
花,名詞
を,助詞
ひらき,動詞
、,記号
やがて,副詞
、,記号
花吹雪,名詞
の,助詞
時,名詞
に,助詞
は,助詞
、,記号
花びら,名詞
が,助詞
おびただしく,形容詞
海,名詞
に,助詞
散り,動詞
込み,動詞
、,記号
海面,名詞
を,助詞
鏤め,動詞
て,助詞
漂い,動詞
、,記号
波,名詞
に,助詞
乗せ,動詞
られ,動詞
再び,副詞
波打,名詞
際,名詞
に,助詞
打ちかえさ,動詞
れる,動詞
、,記号
その,連体詞
桜,名詞
の,助詞
砂浜,名詞
が,助詞
、,記号
そのまま,副詞
校庭,名詞
として,助詞
使用,名詞
せら,動詞
れ,動詞
て,助詞
いる,動詞
東北,名詞
の,助詞
或,連体詞
る,助動詞
中学校,名詞
に,助詞
、,記号
自分,名詞
は,助詞
受験,名詞
勉強,名詞
も,助詞
ろくに,副詞
し,動詞
なかっ,助動詞
た,助動詞
のに,助詞
、,記号
どうやら,副詞
無事,名詞
に,助詞
入学,名詞
でき,動詞
まし,助動詞
た,助動詞
。,記号
そうして,接続詞
、,記号
その,連体詞
中学,名詞
の,助詞
制帽,名詞
の,助詞
徽章,名詞
に,助詞
も,助詞
、,記号
制服,名詞
の,助詞
ボタン,名詞
に,助詞
も,助詞
、,記号
桜,名詞
の,助詞
花,名詞
が,助詞
図案,名詞
化,名詞
せら,動詞
れ,動詞
て,助詞
咲い,動詞
て,助詞
い,動詞
まし,助動詞
た,助動詞
。,記号
その,連体詞
中学校,名詞
の,助詞
すぐ,副詞
近く,名詞
に,助詞
、,記号
自分,名詞
の,助詞
家,名詞
と,助詞
遠い,形容詞
親戚,名詞
に,助詞
当る,動詞
者,名詞
の,助詞
家,名詞
が,助詞
あり,動詞
まし,助動詞
た,助動詞
ので,助詞
、,記号
その,連体詞
理由,名詞
も,助詞
あっ,動詞
て,助詞
、,記号
父,名詞
が,助詞
その,連体詞
海,名詞
と,助詞
桜,名詞
の,助詞
中学校,名詞
を,助詞
自分,名詞
に,助詞
選ん,動詞
で,助詞
くれ,動詞
た,助動詞
の,名詞
でし,助動詞
た,助動詞
。,記号
自分,名詞
は,助詞
、,記号
その,連体詞
家,名詞
に,助詞
あずけ,動詞
られ,動詞
、,記号
何せ,副詞
学校,名詞
の,助詞
すぐ,副詞
近く,名詞
な,助動詞
ので,助詞
、,記号
朝礼,名詞
の,助詞
鐘,名詞
の,助詞
鳴る,動詞
の,名詞
を,助詞
聞い,動詞
て,助詞
から,助詞
、,記号
走っ,動詞
て,助詞
登校,名詞
する,動詞
という,助詞
よう,名詞
な,助動詞
、,記号
かなり,副詞
怠惰,名詞
な,助動詞
中学生,名詞
でし,助動詞
た,助動詞
が,助詞
、,記号
それでも,接続詞
、,記号
れい,名詞
の,助詞
お,接頭詞
道化,名詞
に,助詞
依っ,動詞
て,助詞
、,記号
日,名詞
一,名詞
日,名詞
と,助詞
クラス,名詞
の,助詞
人気,名詞
を,助詞
得,動詞
て,助詞
い,動詞
まし,助動詞
た,助動詞
。,記号
生れ,動詞
て,助詞
はじめ,動詞
て,助詞
、,記号
謂わ,動詞
ば,助詞
他郷,名詞
へ,助詞
出,動詞
た,助動詞
わけ,名詞
な,助動詞
の,名詞
です,助動詞
が,助詞
、,記号
自分,名詞
に,助詞
は,助詞
、,記号
その,連体詞
他郷,名詞
の,助詞
ほう,名詞
が,助詞
、,記号
自分,名詞
の,助詞
生れ,名詞
故郷,名詞
より,助詞
も,助詞
、,記号
ずっと,副詞
気楽,名詞
な,助動詞
場所,名詞
の,助詞
よう,名詞
に,助詞
思わ,動詞
れ,動詞
まし,助動詞
た,助動詞
。,記号
それ,名詞
は,助詞
、,記号
自分,名詞
の,助詞
お,接頭詞
道化,名詞
も,助詞
その,連体詞
頃,名詞
に,助詞
は,助詞
いよいよ,副詞
ぴったり,副詞
身,名詞
について,助詞
来,動詞
て,助詞
、,記号
人,名詞
を,助詞
あざむく,動詞
の,名詞
に,助詞
以前,名詞
ほど,助詞
の,助詞
苦労,名詞
を,助詞
必要,名詞
と,助詞
し,動詞
なく,助動詞
なっ,動詞
て,助詞
い,動詞
た,助動詞
から,助詞
で,助動詞
ある,助動詞
、,記号
と,助詞
解説,名詞
し,動詞
て,助詞
も,助詞
いい,形容詞
でしょ,助動詞
う,助動詞
が,助詞
、,記号
しかし,接続詞
、,記号
それ,名詞
より,助詞
も,助詞
、,記号
肉親,名詞
と,助詞
他人,名詞
、,記号
故郷,名詞
と,助詞
他郷,名詞
、,記号
そこ,名詞
に,助詞
は,助詞
抜く,動詞
べから,助動詞
ざる,助動詞
演技,名詞
の,助詞
難易,名詞
の,助詞
差,名詞
が,助詞
、,記号
どの,連体詞
よう,名詞
な,助動詞
天才,名詞
にとって,助詞
も,助詞
、,記号
たとい,副詞
神,名詞
の,助詞
子,名詞
の,助詞
イエス,名詞
にとって,助詞
も,助詞
、,記号
存在,名詞
し,動詞
て,助詞
